timestamp,tweet_count,avg_signal,avg_lexicon,avg_tfidf,engagement,confidence,composite_signal
2026-08-04 18:30:00+00:00,6,0.1537995083383085,0.16666666666666666,0.07452280568541167,8.43750042250699,0.2290481178737672,0.2906535978744758
2026-08-04 18:45:00+00:00,1,0.040554931706236745,0.0,0.0,1.3862943611198906,0.0,0.028103134573032512
2026-08-04 19:00:00+00:00,1,0.07818966298861779,0.0,0.0,2.8903717578961645,0.0,0.05414394233498719
2026-08-04 19:15:00+00:00,1,0.7003908423820393,1.0,0.25419993809157576,2.70805020110221,0.0,0.450616778274407
2026-08-04 19:45:00+00:00,1,0.07818966298861779,0.0,0.0,2.8903717578961645,0.0,0.05414394233498719
2026-08-04 20:00:00+00:00,1,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-04 20:15:00+00:00,1,0.07084072294188228,0.0,0.0,2.5649493574615367,0.0,0.049063621129185775
2026-08-04 22:45:00+00:00,1,0.0725559581197705,0.0,0.0,2.6390573296152584,0.0,0.050249599825681175
2026-08-04 23:15:00+00:00,3,0.07817518960260629,0.0,0.0,8.679312040892672,0.005538018220533567,0.10795152894093017
2026-08-04 23:30:00+00:00,1,0.6858747301367709,1.0,0.34478900985397615,1.0986122886681098,0.0,0.44256183065489985
2026-08-04 23:45:00+00:00,1,0.07818966298861779,0.0,0.0,2.8903717578961645,0.0,0.05414394233498719
2026-08-05 00:15:00+00:00,1,0.08150332197440958,0.0,0.0,3.044522437723423,0.0,0.05643377354821139
2026-08-05 00:30:00+00:00,3,0.06671465882760572,0.0,0.0,7.203405521083095,0.011520731392862277,0.09222335519673329
2026-08-05 00:45:00+00:00,1,0.016903214653138786,0.0,-0.012530023386988016,0.6931471805599453,0.0,0.01171587948737643
2026-08-05 01:15:00+00:00,5,0.1495689379294649,0.2,0.02486903015051705,5.575949103146316,0.425653234516707,0.26175499140239095
2026-08-05 02:15:00+00:00,1,0.6312250008553498,1.0,0.27075000285116607,0.0,0.0,0.4115964933493225
2026-08-05 02:30:00+00:00,7,-0.052446351575227416,-0.14285714285714285,-0.023256942759402217,8.286017468404763,0.17360706766880366,-0.10862879024284552
2026-08-05 02:45:00+00:00,2,0.007866132246082439,0.0,-0.02784293781402178,1.0986122886681098,0.015417619202321577,0.008641614428808758
2026-08-05 03:00:00+00:00,5,0.26212265920238453,0.4,0.11878351255422985,1.0986122886681098,0.3019997935573021,0.4379251718474594
2026-08-05 03:15:00+00:00,4,0.003502086942028231,0.0,-0.0227634129752979,1.3862943611198906,0.4959762879651238,0.005636331810562718
2026-08-05 03:30:00+00:00,11,-0.016313630896487893,-0.09090909090909091,-0.004725487278712592,13.96324066998861,0.10794802173445557,-0.040515658967118576
2026-08-05 03:45:00+00:00,8,0.313176829248238,0.375,0.21967503390632473,11.431281475929719,0.23637829086323162,0.5967727858376728
2026-08-05 04:00:00+00:00,12,0.24100150125428632,0.27777777777777773,0.22865622927752308,8.083328608786376,0.24413910829458568,0.5498432748564882
2026-08-05 04:15:00+00:00,1,-0.6021636841908293,-1.0,-0.17387894730276432,0.0,0.0,-0.39472773428009755
2026-08-05 04:30:00+00:00,10,0.03471679058965592,-0.05,0.0972294000603247,11.84916910403644,0.14034259115048234,0.08305545572595
2026-08-05 04:45:00+00:00,3,0.4222082221491957,0.6666666666666666,0.12613824177530442,1.791759469228055,0.4137678599319426,0.526510428309016
2026-08-05 05:00:00+00:00,14,0.08737712606584673,0.08333333333333334,0.06147360288618423,11.481434797878858,0.1679985549238827,0.23230222248426668
2026-08-05 05:15:00+00:00,5,0.022709578118610286,0.0,0.0,3.8712010109078907,0.01840212408395313,0.040667659843573796
2026-08-05 05:30:00+00:00,14,0.2575021030378837,0.32857142857142857,0.1784032697727735,11.431281475929719,0.16273141844380287,0.6026694097220355
2026-08-05 05:45:00+00:00,7,-0.04328287632003309,-0.09523809523809525,-0.001741710476139068,2.3025850929940455,0.18008262472524922,-0.08976196188258605
2026-08-05 06:00:00+00:00,14,0.06231652577241765,0.07142857142857142,0.00685806380096505,10.065606402012563,0.15231536214997335,0.16717233568217055
2026-08-05 06:15:00+00:00,7,0.19732375816906855,0.2857142857142857,0.07731331234672598,4.0943445622221,0.3404328601808839,0.38874708820298803
2026-08-05 06:30:00+00:00,19,0.06297538177296995,0.07017543859649122,-0.0005524594258990405,15.995629667397553,0.10611810118957982,0.18645058907448886
2026-08-05 06:45:00+00:00,7,0.15645289552633757,0.19047619047619047,0.10665139147764713,4.68213122712422,0.17266557006575217,0.3143225443368107
2026-08-05 07:00:00+00:00,1,0.07693340603867167,0.0,0.0,2.833213344056216,0.0,0.05327568337871867
2026-08-05 07:15:00+00:00,23,0.20460438953482707,0.2898550724637681,0.09196244111133758,13.969432640236532,0.13589061265258104,0.5718340434559673
2026-08-05 07:30:00+00:00,12,0.11125909694197555,0.08333333333333333,0.10682481368077995,14.094595783190536,0.24098499304659698,0.2778714617830987
2026-08-05 07:45:00+00:00,8,0.3733689059736282,0.5,0.22790784264933378,8.37930948405285,0.22809744017470782,0.6752741115437524
2026-08-05 08:00:00+00:00,10,0.00484401396661098,0.0,-0.001553369727901111,1.7917594692280552,0.007351741772493503,0.011614915841299905
2026-08-05 08:15:00+00:00,14,0.07090560595794859,0.11904761904761905,-0.006316614278411625,3.4657359027997265,0.12799226877169506,0.18969034872343798
2026-08-05 08:30:00+00:00,6,0.1334546303268258,0.16666666666666666,0.0953376955684916,2.70805020110221,0.20503739065102744,0.25400622946801416
2026-08-05 08:45:00+00:00,16,0.054453239508706355,0.0625,0.012736795732998815,9.041685005946043,0.07870566712743997,0.1530651691999169
2026-08-05 09:00:00+00:00,20,0.07590705054993065,0.1,-0.013702552327837878,17.48478141395715,0.09526270525720686,0.22707257623230323
2026-08-05 09:15:00+00:00,11,0.0965937147251842,0.09090909090909091,0.06159174028840098,10.66914142388282,0.19691157487611588,0.2355206513282895
2026-08-05 09:30:00+00:00,15,0.26803615335674685,0.3555555555555555,0.15180387532337167,14.205821418300761,0.18507408878462403,0.6310469631923235
2026-08-05 09:45:00+00:00,21,0.0513312485810021,0.03174603174603175,0.02065657885445194,20.96804374867361,0.13489345026310193,0.15734884779522
2026-08-05 10:00:00+00:00,14,0.12244213212652755,0.14285714285714285,0.06700561821234437,11.867518242704636,0.17870621960621194,0.31993925972960247
